,LD50,SD,rounded
PABL001,6.68811286,0.098112276,6.7
PABL002,6.355436136,0.275321236,6.4
PABL003,6.489030299,0.209061196,6.5
PABL004,7.484112856,4.631894871,7.5
PABL006,6.504343956,0.10431898,6.5
PABL007,6.452545735,0.344469647,6.5
PABL009,7.277474493,0.232998111,7.3
PABL010,7.431126862,12.40211242,7.4
PABL011,7.106429078,0.156952097,7.1
PABL012,5.847638972,0.117602195,5.8
PABL013,6.234470403,0.109145766,6.2
PABL014,7.27094789,8.604770433,7.3
PABL015,7.400566908,0.533160051,7.4
PABL016,6.30407276,0.062065739,6.3
PABL017,6.787471764,0.157277287,6.8
PABL018,7.136182048,23.97983686,7.1
PABL020,7.529801047,20.99437754,7.5
PABL021,7.436371785,13.65070281,7.4
PABL022,6.62999701,0.028814791,6.6
PABL023,6.627148804,0.028286041,6.6
PABL024,6.494502007,0.120328691,6.5
PABL026,6.560039607,0.235824043,6.6
PABL027,8.279490909,0.042465431,8.3
PABL028,7.523243026,3.152317646,7.5
PABL029,6.586903358,18.10528275,6.6
PABL030,6.840205607,0.220874191,6.8
PABL031,6.529950135,0.887423,6.5
PABL032,6.706912404,0.046859154,6.7
PABL034,6.762477463,0.437463142,6.8
PABL035,6.946320527,6.23999329,6.9
PABL036,6.997742604,23.73527985,7
PABL037,6.991808194,0.119690044,7
PABL038,7.395689325,0.004639517,7.4
PABL040,7.192774137,4.225166769,7.2
PABL041,6.644241996,0.159549724,6.6
PABL042,7.31140384,0.14065375,7.3
PABL043,8.096725061,5.088338794,8.1
PABL044,7.198036772,22.56061162,7.2
PABL046,7.00140962,152.4497462,7
PABL047,7.040612353,14.14972729,7
PABL048,7.039939865,175.9099406,7
PABL049,6.109874934,0.144937252,6.1
PABL051,7.491535955,2.853521552,7.5
PABL052,7.69003041,0.132717767,7.7
PABL053,6.99538537,5.892137418,7
PABL054,6.92006963,0.084939322,6.9
PABL055,6.97121515,0.06314477,7
PABL056,7.663906362,6.862441119,7.7
PABL057,7.262809641,0.108723984,7.3
PABL058,7.604954102,0.122528438,7.6
PABL059,7.348904365,0.274919816,7.3
PABL060,6.783234104,20.19981811,6.8
PABL061,6.459339838,0.33549659,6.5
PABL062,7.52434657,0.286992934,7.5
PABL063,7.204386088,0.748686474,7.2
PABL064,7.426321198,1.337651012,7.4
PABL065,7.913867787,6.937975375,7.9
PABL066,7.666283384,2.165346908,7.7
PABL067,7.362115637,0.173225391,7.4
PABL068,6.5307622,0.013499058,6.5
PABL069,7.01636424,0.087817115,7
PABL070,6.510996045,0.048723115,6.5
PABL071,7.277534711,0.052609538,7.3
PABL072,6.704816537,0.330307313,6.7
PABL073,6.873210953,0.112935616,6.9
PABL074,7.296667519,0.299328719,7.3
PABL075,6.936858267,0.343856166,6.9
PABL076,6.935232374,0.233026266,6.9
PABL077,6.697389452,0.567231812,6.7
PABL078,6.768386354,0.597601142,6.8
PABL079,6.562692373,0.221486374,6.6
PABL080,7.123020982,0.479981555,7.1
PABL081,7.569750746,0.045797451,7.6
PABL082,7.837772298,0.113314578,7.8
PABL083,6.423936929,0.066661931,6.4
PABL084,6.583823412,9.88467467,6.6
PABL085,6.702253555,0.299842077,6.7
PABL086,7.151971831,6.177609499,7.2
PABL088,7.421091696,3.681309729,7.4
PABL089,7.321068055,0.077569913,7.3
PABL090,6.669497081,0.122469584,6.7
PABL091,7.149824829,0.386894688,7.1
PABL092,7.661243106,0.177020836,7.7
PABL093,6.314760152,1.316332287,6.3
PABL094,7.114648453,0.458964677,7.1
PABL095,6.681621536,12.02111528,6.7
PABL096,6.539311498,0.13630061,6.5
PABL097,6.64192795,0.158091412,6.6
PABL098,7.003783866,0.063764768,7
PABL100,6.876323546,0.34691248,6.9
PABL101,6.861431339,0.349032125,6.9
PABL102,6.249150888,0.79272367,6.2
PABL103,8.146818032,0.080329269,8.1
PABL104,7.929049355,0.137690878,7.9
PABL105,7.657867735,0.135555647,7.7
PABL106,6.446579882,0.45029745,6.4
PABL107,6.352438241,0.033644254,6.4
PABL108,6.825963327,0.209288032,6.8
PAC1,6.333128598,0.072185963,6.3
PAC6,6.103869797,0.060633368,6.1
S10,5.982190028,0.11765721,6
S11,6.173280259,0.109945736,6.2
S12,6.496004801,0.098313935,6.5
S13,6.272217594,1.899702289,6.3
S14,6.809438318,11.14075871,6.8
S15,6.363008918,2.340836685,6.4
S16,7.174713306,0.120458548,7.2
S17,6.810585849,0.074911882,6.8
S2,6.322850172,0.020396129,6.3
S3,6.053687348,0.13229743,6.1
S4,6.021450413,0.034619969,6
S5,5.967278635,0.094815331,6
S7,6.332855257,0.111617234,6.3
S8,6.139173674,0.131281023,6.1
S9,6.696118116,0.151244453,6.7
PASP527,6.311705137,0.083785474,6.3
PASP048,6.539701996,0.140290877,6.5
PASP315,6.49439389,7.379001755,6.5
PASP398,7.317161103,0.124484916,7.3
PASP453,6.282436856,0.255535659,6.3
PASP471,6.309089899,3.399614384,6.3
PASP499,7.34957831,0.012260234,7.3
PASP170,7.397668836,0.145881068,7.4
PASP146,6.405185053,1.942022938,6.4
PASP496,7.432574231,6.688541975,7.4
PASP198,6.468013864,0.30346057,6.5
PASP204,6.314911725,5.945779784,6.3
PASP208,6.292323852,2.374830642,6.3
PASP251,6.32081396,0.223275379,6.3
PASP269,6.388992333,0.040109618,6.4
PASP657,7.826101393,0.062622534,7.8
PASP388,7.22898215,6.36668521,7.2
PASP612,7.108585631,0.181619403,7.1
PASP639,7.380625919,0.124634783,7.4
PASP309,6.680605611,0.10216481,6.7
PASP352,6.638167667,0.300520665,6.6
PASP415,6.768456109,0.452775905,6.8
PASP450,7.864782585,0.260249509,7.9
PASP475,6.322841735,0.211297588,6.3
PASP518,7.043112474,0.2145296,7